ISIN|PANZA L1|PANZA L2|PANZA L3|Name|Subindustry
CH0225173167|FINANCIALS|BANKS|BANKS|Cembra Money Bank AG|Europe Banks
GB0007668071|FINANCIALS|BANKS|BANKS|Close Brothers Group PLC|Europe Banks
SE0007048020|FINANCIALS|BANKS|BANKS|Collector AB|Europe Banks
DE000CBK1001|FINANCIALS|BANKS|BANKS|Commerzbank AG|Europe Banks
FR0000045072|FINANCIALS|BANKS|BANKS|Credit Agricole SA|Europe Banks
IT0003121677|FINANCIALS|BANKS|BANKS|Credito Emiliano SpA|Europe Banks
DK0010274414|FINANCIALS|BANKS|BANKS|Danske Bank A/S|Europe Banks
DE0008019001|FINANCIALS|BANKS|MORTGAGE BANKING|Deutsche Pfandbriefbank AG|Commercial Mortgage Banking and Services
NO0010161896|FINANCIALS|BANKS|BANKS|DNB Bank ASA|Europe Banks
AT0000652011|FINANCIALS|BANKS|BANKS|Erste Group Bank AG|Europe Banks
IT0000072170|FINANCIALS|BANKS|BANKS|FinecoBank Banca Fineco SpA|Europe Banks
GB0005405286|FINANCIALS|BANKS|BANKS|HSBC Holdings PLC|Multinational Banks
NL0011821202|FINANCIALS|BANKS|BANKS|ING Groep NV|Europe Banks
IT0000072618|FINANCIALS|BANKS|BANKS|Intesa Sanpaolo SpA|Europe Banks
DK0010307958|FINANCIALS|BANKS|BANKS|Jyske Bank A/S|Europe Banks
BE0003565737|FINANCIALS|BANKS|BANKS|KBC Group NV|Europe Banks
GB0008706128|FINANCIALS|BANKS|BANKS|Lloyds Banking Group PLC|Europe Banks
GB00B7T77214|FINANCIALS|BANKS|BANKS|NatWest Group PLC|Europe Banks
FI4000297767|FINANCIALS|BANKS|BANKS|Nordea Bank Abp|Europe Banks
FI4000306733|FINANCIALS|BANKS|BANKS|Oma Saastopankki Oyj|Europe Banks
GB00BLDRH360|FINANCIALS|BANKS|MORTGAGE BANKING|OSB Group PLC|Miscellaneous Mortgage Banking Services
GB00B2NGPM57|FINANCIALS|BANKS|MORTGAGE BANKING|Paragon Banking Group PLC|Mortgage Origination Services
IE00BWB8X525|FINANCIALS|BANKS|BANKS|Permanent TSB Group Holdings PLC|Europe Banks
IT0003796171|FINANCIALS|BANKS|BANKS|Poste Italiane SpA|Multinational Banks
AT0000606306|FINANCIALS|BANKS|BANKS|Raiffeisen Bank International AG|Europe Banks
DK0060854669|FINANCIALS|BANKS|BANKS|Ringkjoebing Landbobank A/S|Europe Banks
NO0010739402|FINANCIALS|BANKS|BANKS|Sbanken ASA|Europe Banks
SE0000120784|FINANCIALS|BANKS|BANKS|Skandinaviska Enskilda Banken AB|Europe Banks
SE0000148884|FINANCIALS|BANKS|BANKS|Skandinaviska Enskilda Banken AB|Europe Banks
FR0000130809|FINANCIALS|BANKS|BANKS|Societe Generale SA|Europe Banks
DK0060036564|FINANCIALS|BANKS|BANKS|Spar Nord Bank A/S|Europe Banks
NO0006000801|FINANCIALS|BANKS|BANKS|SpareBank 1 Nord Norge|Europe Banks
NO0010631567|FINANCIALS|BANKS|BANKS|SpareBank 1 SR-Bank ASA|Europe Banks
NO0006390004|FINANCIALS|BANKS|BANKS|Sparebanken More|Europe Banks
GB0004082847|FINANCIALS|BANKS|BANKS|Standard Chartered PLC|Other Asia/Pacific Banks
SE0007100599|FINANCIALS|BANKS|BANKS|Svenska Handelsbanken AB|Europe Banks
SE0007100607|FINANCIALS|BANKS|BANKS|Svenska Handelsbanken AB|Europe Banks
SE0000242455|FINANCIALS|BANKS|BANKS|Swedbank AB|Europe Banks
DK0010311471|FINANCIALS|BANKS|BANKS|Sydbank AS|Europe Banks
ES0180907000|FINANCIALS|BANKS|BANKS|Unicaja Banco SA|Europe Banks
IT0005239360|FINANCIALS|BANKS|BANKS|UniCredit SpA|Europe Banks
CH0014786500|FINANCIALS|BANKS|BANKS|Valiant Holding AG|Europe Banks
GB00BD6GN030|FINANCIALS|BANKS|BANKS|Virgin Money UK PLC|Europe Banks
GB00B02J6398|CONSUMER DISCRETIONARY|AUTOS|INSURANCE|Admiral Group PLC|Auto Insurance
NL0000303709|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|Aegon NV|Diversified Life and Health Insurance
BE0974264930|FINANCIALS|INSURANCE|INSURANCE|Ageas SA/NV|Life Insurance
DE0008404005|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|Allianz SE|Diversified Life and Health Insurance
DK0015250344|FINANCIALS|INSURANCE|INSURANCE|Alm Brand A/S|Multi-Type Commercial Insurance
NL0011872643|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|ASR Nederland NV|Diversified Life and Health Insurance
IT0000062072|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|Assicurazioni Generali SpA|Diversified Life and Health Insurance
GB0002162385|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|Aviva PLC|Diversified Life and Health Insurance
FR0000120628|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|AXA SA|Diversified Life and Health Insurance
CH0012410517|FINANCIALS|INSURANCE|INSURANCE|Baloise Holding AG|Life Insurance
GB00BYQ0JC66|FINANCIALS|INSURANCE|INSURANCE|Beazley PLC|Multi-Type Commercial Insurance
FR0000120222|FINANCIALS|INSURANCE|INSURANCE|CNP Assurances|Life Insurance
FR0010667147|FINANCIALS|INSURANCE|INSURANCE|Coface SA|Financial Guaranty Commercial Insurance
GB00BY9D0Y18|CONSUMER DISCRETIONARY|AUTOS|INSURANCE|Direct Line Insurance Group PLC|Auto Insurance
NO0010582521|FINANCIALS|INSURANCE|INSURANCE|Gjensidige Forsikring ASA|Diversified Commercial Insurance
DE0008402215|FINANCIALS|INSURANCE|INSURANCE|Hannover Rueck SE|Diversified Property and Casualty Reinsurance
CH0466642201|FINANCIALS|INSURANCE|INSURANCE|Helvetia Holding AG|Diversified Commercial Insurance
GB00BYYTFB60|FINANCIALS|INSURANCE|INSURANCE|HomeServe PLC|Insurance Brokerage
GB00BCRX1J15|FINANCIALS|INSURANCE|INSURANCE|Just Group PLC|Annuities
BMG5361W1047|FINANCIALS|INSURANCE|INSURANCE|Lancashire Holdings Ltd|Diversified Property and Casualty Reinsurance
ES0105546008|CONSUMER DISCRETIONARY|AUTOS|INSURANCE|Linea Directa Aseguradora SA Cia de Segu|Auto Insurance
ES0124244E34|FINANCIALS|INSURANCE|INSURANCE|Mapfre SA|Diversified Commercial Insurance
DE0008430026|FINANCIALS|INSURANCE|INSURANCE|Munich Re|Multi-Type Reinsurance
NL0010773842|FINANCIALS|INSURANCE|INSURANCE|NN Group NV|Life Insurance
DE0005408686|FINANCIALS|INSURANCE|INSURANCE|OEKOWORLD AG|Annuities
GB00BGXQNP29|FINANCIALS|INSURANCE|INSURANCE|Phoenix Group Holdings PLC|Life Insurance
NO0010209331|FINANCIALS|INSURANCE|INSURANCE|Protector Forsikring ASA|Multi-Type Commercial Insurance
GB0007099541|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|Prudential PLC|Diversified Life and Health Insurance
GB00BYWVDP49|CONSUMER DISCRETIONARY|AUTOS|INSURANCE|Sabre Insurance Group PLC|Auto Insurance
FI0009003305|FINANCIALS|INSURANCE|INSURANCE|Sampo Oyj|Diversified Commercial Insurance
FR0010411983|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|SCOR SE|Life and Health Reinsurance
IT0000784154|FINANCIALS|INSURANCE|INSURANCE|Societa Cattolica Di Assicurazione SPA|Diversified Commercial Insurance
NO0003053605|CONSUMER NON-DISCRETIONARY|HEALTHCARE|INSURANCE|Storebrand ASA|Diversified Life and Health Insurance
CH0014852781|FINANCIALS|INSURANCE|INSURANCE|Swiss Life Holding AG|Life Insurance
CH0126881561|FINANCIALS|INSURANCE|INSURANCE|Swiss Re AG|Diversified Property and Casualty Reinsurance
DE000TLX1005|FINANCIALS|INSURANCE|INSURANCE|Talanx AG|Multi-Type Reinsurance
DK0060477503|FINANCIALS|INSURANCE|INSURANCE|Topdanmark AS|Life Insurance
DK0060636678|FINANCIALS|INSURANCE|INSURANCE|Tryg A/S|Other Personal Insurance
IT0004810054|FINANCIALS|INSURANCE|INSURANCE|Unipol Gruppo SpA|Diversified Commercial Insurance
IT0004827447|FINANCIALS|INSURANCE|INSURANCE|UnipolSai Assicurazioni SpA|Diversified Commercial Insurance
AT0000821103|FINANCIALS|INSURANCE|INSURANCE|UNIQA Insurance Group AG|Diversified Commercial Insurance
CH0021545667|FINANCIALS|INSURANCE|INSURANCE|Vaudoise Assurances Holding SA|Diversified Commercial Insurance
AT0000908504|FINANCIALS|INSURANCE|INSURANCE|Vienna Insurance|Diversified Commercial Insurance
CH0011075394|FINANCIALS|INSURANCE|INSURANCE|Zurich Insurance Group AG|Diversified Commercial Insurance
GB00B1YW4409|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|3i Group PLC|Private Equity and Venture Capital Companies
NO0003021909|FINANCIALS|BANKS|BANKS|ABG Sundal Collier Holding ASA|EMEA Investment Banking and Corporate Finance
GB00BF8Q6K64|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|abrdn plc|Diverse Asset Management and Financial Advisors
GB00BFZNLB60|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|AJ Bell PLC|Diverse Institutional/High-Net Advisory Finance
NO0010234552|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Aker ASA|Investment Companies
GB00BF1TM596|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|Alpha FX Group PLC|Trade Execution Services
FR0004125920|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Amundi SA|Diverse Institutional/High-Net Advisory Finance
IT0004998065|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Anima Holding SpA|Other Traditional Investment Product Managers
GB00B132NW22|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Ashmore Group PLC|Other Traditional Investment Product Managers
SE0012454072|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|Avanza Bank Holding AB|Retail Brokerage Services
IT0003261697|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Azimut Holding SpA|Diverse Asset Management and Financial Advisors
IT0001031084|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Banca Generali SpA|Diverse Institutional/High-Net Advisory Finance
GB0031348658|FINANCIALS|BANKS|BANKS|Barclays PLC|Bulge Bracket Investment Banking
GB0001765816|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Brewin Dolphin Holdings PLC|Diverse Institutional/High-Net Advisory Finance
SE0000195810|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Bure Equity AB|Investment Companies
GB00B14SKR37|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|CMC Markets PLC|Retail Brokerage Services
LU1296758029|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Corestate Capital Holding SA|Real Estate Fund Managers
SE0015661236|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Creades AB|Investment Companies
CH0012138530|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Credit Suisse Group AG|Diverse Institutional/High-Net Advisory Finance
DE0005140008|FINANCIALS|BANKS|BANKS|Deutsche Bank AG|Bulge Bracket Investment Banking
DE000A1TNUT7|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Deutsche Beteiligungs AG|Private Equity and Venture Capital Companies
DE0005810055|FINANCIALS|WEALTH MANAGEMENT|EXCHANGES|Deutsche Boerse AG|Alternative Exchanges and ECNs
DE000DWS1007|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|DWS Group GmbH & Co KGaA|Diverse Institutional/High-Net Advisory Finance
CH0022268228|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|EFG International AG|Diverse Institutional/High-Net Advisory Finance
SE0012853455|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|EQT AB|Private Equity and Venture Capital Fund Managers
FR0000121121|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Eurazeo SE|Private Equity and Venture Capital Companies
NL0006294274|FINANCIALS|WEALTH MANAGEMENT|EXCHANGES|Euronext NV|Securities Exchanges
FI4000170915|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Evli Bank PLC|Diverse Institutional/High-Net Advisory Finance
NL0012059018|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|EXOR NV|Investment Companies
DE000FTG1111|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|flatexDEGIRO AG|Diversified Brokerage Services
NL0011279492|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|Flow Traders|Market Makers and Specialists
GG00BMD8MJ76|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Foresight Group Holdings Ltd|Diverse Alternative Investment Managers
BE0003797140|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Groupe Bruxelles Lambert SA|Investment Companies
GB00B1VZ0M25|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Hargreaves Lansdown PLC|Diverse Asset Management and Financial Advisors
GB00B06QFB75|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|IG Group Holdings PLC|Issuance and Securitization Services
GB0004905260|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Impax Asset Management Group PLC|Diverse Asset Management and Financial Advisors
SE0000190126|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Industrivarden AB|Investment Companies
SE0000107203|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Industrivarden AB|Investment Companies
GB00BD45SH49|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|IntegraFin Holdings PLC|Equity Fund Managers
GB00BYT1DJ19|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Intermediate Capital Group PLC|Diverse Alternative Investment Managers
SE0010100958|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Investment AB Latour|Investment Companies
SE0008321608|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Investment AB Oresund|Investment Companies
SE0015811963|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Investor AB|Investment Companies
SE0015811955|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Investor AB|Investment Companies
GB00B128J450|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|IP Group PLC|Private Equity and Venture Capital Fund Managers
IT0005253205|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Italmobiliare SpA|Multi-Type Investment Holding Companies
CH0102484968|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Julius Baer Group Ltd|Private Wealth Managers
GB00B53P2009|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Jupiter Fund Management PLC|Equity Fund Managers
BE0003867844|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|KBC Ancora|Investment Companies
SE0015810239|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Kinnevik AB|Investment Companies
SE0015810247|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Kinnevik AB|Investment Companies
SE0000108847|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|L E Lundbergforetagen AB|Investment Companies
GB0005603997|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Legal & General Group PLC|Diverse Institutional/High-Net Advisory Finance
CH0190891181|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|Leonteq AG|Issuance and Securitization Services
GB0007388407|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Liontrust Asset Management PLC|Other Traditional Investment Product Managers
GB00BKFB1C65|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|M&G PLC|Diverse Institutional/High-Net Advisory Finance
JE00BJ1DLW90|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Man Group PLC/Jersey|Diverse Asset Management and Financial Advisors
GB00B0MT3Y97|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Mattioli Woods PLC|Diverse Institutional/High-Net Advisory Finance
DE000A0ETBQ4|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|MBB SE|Investment Companies
IT0000062957|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Mediobanca Banca di Credito Finanziario|Diversified Investment
GB00BNR5MZ78|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Melrose Industries PLC|Private Equity and Venture Capital Companies
GB00BY7QYJ50|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Molten Ventures PLC|Private Equity and Venture Capital Companies
GB00BJHPLV88|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Ninety One PLC|Diverse Institutional/High-Net Advisory Finance
GB00B05M6465|FINANCIALS|BANKS|BANKS|Numis Corp PLC|EMEA Investment Banking and Corporate Finance
CH0024608827|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Partners Group Holding AG|Private Equity and Venture Capital Fund Managers
FR0000064784|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|PEUGEOT INVEST|Investment Companies
GB00B1GCLT25|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Polar Capital Holdings PLC|Diverse Asset Management and Financial Advisors
GB00BDCXV269|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Quilter PLC|Private Wealth Managers
GB0002148343|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Rathbones Group PLC|Diverse Institutional/High-Net Advisory Finance
SE0000111940|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Ratos AB|Investment Companies
FR0000031684|FINANCIALS|BANKS|BANKS|Rothschild & Co|EMEA Investment Banking and Corporate Finance
GB0002405495|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Schroders PLC|Diverse Institutional/High-Net Advisory Finance
BE0003717312|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Sofina SA|Investment Companies
GB0007669376|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|St James's Place PLC|Diverse Institutional/High-Net Advisory Finance
SE0017161458|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Svolder AB|Equity Mutual Fund Managers
CH0010675863|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|Swissquote Group Holding SA|Retail Brokerage Services
IT0003153621|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Tamburi Investment Partners SpA|Investment Companies
JE00BMDZN391|FINANCIALS|WEALTH MANAGEMENT|INTERMEDIATION|TP ICAP Group PLC|Trade Execution Services
CH0244767585|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|UBS Group AG|Private Wealth Managers
NL0000302636|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Van Lanschot Kempen NV|Diverse Institutional/High-Net Advisory Finance
CH0012335540|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Vontobel Holding AG|Diverse Institutional/High-Net Advisory Finance
FR0000121204|FINANCIALS|WEALTH MANAGEMENT|ASSET MANAGEMENT & ADVISORY|Wendel SE|Investment Companies
NL0012969182|FINANCIALS|BANKS|PAYMENTS|Adyen NV|Electronic Payment Processing
NL0000687663|INDUSTRIALS|TRANSPORT|AEROSPACE|AerCap Holdings NV|Aircraft and Engine Leasing Services
GB00BDHXPG30|INDUSTRIALS|SOFTWARE|SOFTWARE - FINANCIAL|Alfa Financial Software Holdings PLC|Investment Management/Brokerage Software
GB00BZ15CS02|FINANCIALS|INSURANCE|INSURANCE|Argo Blockchain PLC|Cryptocurrency Mining
NO0010840515|FINANCIALS|INSURANCE|INSURANCE|Axactor SE|Collection Agencies and Loan Factoring Services
NO0010633951|FINANCIALS|INSURANCE|INSURANCE|B2Holding ASA|Collection Agencies and Loan Factoring Services
IT0003188064|FINANCIALS|INSURANCE|INSURANCE|Banca IFIS SpA|Collection Agencies and Loan Factoring Services
IT0005244402|FINANCIALS|INSURANCE|INSURANCE|BFF Bank SpA|Collection Agencies and Loan Factoring Services
GG00BMGYLN96|FINANCIALS|BANKS|BANKS|Burford Capital Ltd|Commercial Loans
IT0001044996|FINANCIALS|INSURANCE|INSURANCE|doValue SpA|Collection Agencies and Loan Factoring Services
FR0010908533|FINANCIALS|BANKS|PAYMENTS|Edenred|Electronic Payment Processing
DE0005800601|FINANCIALS|INSURANCE|INSURANCE|GFT Technologies SE|Financial Services IT Services
DE000A161N30|FINANCIALS|BANKS|BANKS|GRENKE AG|Other Leasing Services
DE0005493365|INDUSTRIALS|SOFTWARE|SOFTWARE - FINANCIAL|Hypoport SE|Other Finance Industry Software
IT0005359192|FINANCIALS|INSURANCE|INSURANCE|Illimity Bank SpA|Collection Agencies and Loan Factoring Services
SE0000936478|FINANCIALS|INSURANCE|INSURANCE|Intrum AB|Collection Agencies and Loan Factoring Services
IT0005366767|FINANCIALS|BANKS|PAYMENTS|Nexi SpA|Electronic Payment Processing
SE0015192067|INDUSTRIALS|SOFTWARE|SOFTWARE - FINANCIAL|Nordnet AB publ|Other Finance Industry Software
NO0010657448|INDUSTRIALS|TRANSPORT|EQUIPMENT - SHIPPING|Ocean Yield ASA|Marine Containers and Intermodal Leasing Services
GB00B02QND93|FINANCIALS|BANKS|PAYMENTS|PayPoint PLC|Electronic Payment Processing
GB00B1Z4ST84|FINANCIALS|BANKS|PAYMENTS|Provident Financial PLC|Credit Cards
SE0007665823|FINANCIALS|BANKS|BANKS|Resurs Holding AB|Personal Loans
DK0060495240|INDUSTRIALS|SOFTWARE|SOFTWARE - FINANCIAL|SimCorp A/S|Investment Management/Brokerage Software
GB0000163088|FINANCIALS|INSURANCE|INSURANCE|Speedy Hire PLC|Industrial Equipment Leasing Services
CH0012453913|INDUSTRIALS|SOFTWARE|SOFTWARE - FINANCIAL|Temenos AG|Commercial Bank and Credit Union Software
GB00BL9YR756|FINANCIALS|BANKS|PAYMENTS|Wise PLC|Money Transfer Services
FR0011981968|FINANCIALS|BANKS|PAYMENTS|Worldline SA/France|Electronic Payment Processing
GB00B6774699|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|Abcam PLC|Bioanalytical Consumables
GB0004536594|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Advanced Medical Solutions Group PLC|Diversified Medical Devices and Instruments
SE0014401121|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|Aegirbio AB|General Clinical Diagnostics Devices
CH0432492467|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Alcon Inc|Ophthalmology Devices
DK0060946788|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Ambu A/S|Diversified Medical Devices and Instruments
NO0010014632|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|ArcticZymes Technologies ASA|Bioanalytical Consumables
SE0010468116|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Arjo AB|Diversified Medical Devices and Instruments
SE0005878741|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Bactiguard Holding AB|Urology Devices
SE0013647385|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|BICO Group AB|Diversified Bioanalytical Instruments
FR0013280286|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|BioMerieux|General Clinical Diagnostics Devices
SE0000454746|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Biotage AB|Diversified Medical Devices and Instruments
SE0009858152|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|BoneSupport Holding AB|Other Orthopedics Devices
DE0005313704|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Carl Zeiss Meditec AG|Ophthalmology Devices
FR0010907956|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Carmat SA|Cardiology Surgical Devices
SE0000683484|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|Cellavision AB|General Clinical Diagnostics Devices
DK0060055861|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|Chemometec A/S|Diversified Bioanalytical Instruments
DK0060448595|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Coloplast A/S|Diversified Medical Devices and Instruments
GB00BD3VFW73|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|ConvaTec Group PLC|Diversified Medical Devices and Instruments
DK0060738599|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Demant A/S|Ear, Nose and Throat (ENT) Devices
IT0003492391|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|DiaSorin SpA|Immunoassays Clinical Diagnostics Devices
DE0005550636|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Draegerwerk AG & Co KGaA|Diversified Medical Devices and Instruments
DE0005550602|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Draegerwerk AG & Co KGaA|Diversified Medical Devices and Instruments
DE0005659700|CONSUMER NON-DISCRETIONARY|HEALTHCARE|DIAGNOSTICS EQUIPMENT & CONSUMABLES|Eckert & Ziegler Strahlen- und Medizinte|Radiology Devices
IT0005453250|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|El.En. SpA|Diversified Medical Devices and Instruments
SE0000163628|CONSUMER NON-DISCRETIONARY|HEALTHCARE|TREATMENT EQUIPMENT & CONSUMABLES|Elekta AB|Oncology Devices
